Layer Number,Layer Name,Min Singular Value,Max Singular Value,Mean Singular Value,Median Singular Value
16,self_attn.k_proj,0.10048558,3.3038683,0.8003642,0.6694809
16,self_attn.v_proj,0.21386966,1.1218395,0.62401086,0.6317116
16,self_attn.o_proj,8.9786095e-05,4.1134567,0.5474302,0.45202184
16,mlp.gate_proj,0.21416938,6.1040206,1.1577977,1.075757
16,mlp.up_proj,0.2506034,5.324381,1.3424759,1.2741394
16,mlp.down_proj,0.44548115,6.0492306,1.3114262,1.262975
17,self_attn.q_proj,1.6079324e-05,3.930555,0.60781604,0.46190804
17,self_attn.k_proj,0.1068543,2.8127007,0.7857409,0.66119325
17,self_attn.v_proj,0.15511824,1.109851,0.5797688,0.5612403
17,self_attn.o_proj,6.315457e-06,3.9042575,0.51518434,0.40668756
17,mlp.gate_proj,0.21049865,6.8392143,1.1465745,1.0747621
17,mlp.up_proj,0.25433487,5.10559,1.358565,1.3068256
17,mlp.down_proj,0.44791386,5.800762,1.3158958,1.268331
18,self_attn.q_proj,6.5025226e-05,4.23078,0.6385346,0.5023563
18,self_attn.k_proj,0.107880585,2.8600326,0.8173316,0.7085698
18,self_attn.v_proj,0.20421284,1.1484779,0.61814415,0.6163744
18,self_attn.o_proj,0.0001796563,3.2613535,0.5364084,0.43081474
18,mlp.gate_proj,0.1966817,6.6570745,1.160617,1.0930773
18,mlp.up_proj,0.23431309,4.6450367,1.3479515,1.3007601
18,mlp.down_proj,0.43184605,4.8352942,1.3093264,1.2617996
19,self_attn.q_proj,6.670505e-05,3.8048422,0.6077202,0.46725553
19,self_attn.k_proj,0.106403686,2.6739292,0.7652325,0.6430819
19,self_attn.v_proj,0.25352168,1.1460738,0.6488615,0.6421921
19,self_attn.o_proj,4.968485e-05,4.1101794,0.550188,0.44736272
19,mlp.gate_proj,0.2038967,6.615118,1.1700342,1.1070979
19,mlp.up_proj,0.24335507,5.0671425,1.3395202,1.291363
19,mlp.down_proj,0.410624,4.6438856,1.313805,1.2818284
20,self_attn.q_proj,2.693957e-17,3.5972087e-12,1.754376e-13,1.6526987e-13
20,self_attn.k_proj,1.028135e-13,2.7421101e-12,2.0552989e-13,1.9771744e-13
20,self_attn.v_proj,0.09220758,1.4725299,0.5574884,0.5623608
