Layer Number,Layer Name,Rank,Effective Rank
31,self_attn.o_proj,4096,4096
31,mlp.gate_proj,4096,4096
31,mlp.up_proj,4096,4096
31,mlp.down_proj,4096,4096
32,self_attn.q_proj,4096,4096
32,self_attn.k_proj,1024,1024
32,self_attn.v_proj,1024,1024
32,self_attn.o_proj,4096,4096
32,mlp.gate_proj,4096,4096
32,mlp.up_proj,4096,4096
32,mlp.down_proj,4096,4096
33,self_attn.q_proj,4096,4096
33,self_attn.k_proj,1024,1024
33,self_attn.v_proj,1024,1024
33,self_attn.o_proj,4096,4096
33,mlp.gate_proj,4096,4096
33,mlp.up_proj,4096,4096
33,mlp.down_proj,4096,4096
34,self_attn.q_proj,4096,4096
34,self_attn.k_proj,1024,1024
34,self_attn.v_proj,1024,1024
34,self_attn.o_proj,4096,4096
34,mlp.gate_proj,4096,4096
34,mlp.up_proj,4096,4096
34,mlp.down_proj,4096,4096
35,self_attn.q_proj,4096,4096
35,self_attn.k_proj,1024,1024
35,self_attn.v_proj,1024,1024
35,self_attn.o_proj,4096,4096
35,mlp.gate_proj,4096,4096
35,mlp.up_proj,4096,4096
35,mlp.down_proj,4096,4096
36,self_attn.q_proj,4096,4096
36,self_attn.k_proj,1024,1024
36,self_attn.v_proj,1024,1024
36,self_attn.o_proj,4096,4096
36,mlp.gate_proj,4096,4096
36,mlp.up_proj,4096,4096
36,mlp.down_proj,4096,4096
37,self_attn.q_proj,4096,4096
37,self_attn.k_proj,1024,1024
37,self_attn.v_proj,1024,1024
37,self_attn.o_proj,4096,4096
37,mlp.gate_proj,4096,4096
37,mlp.up_proj,4096,4096
37,mlp.down_proj,4096,4096
38,self_attn.q_proj,4096,4096
38,self_attn.k_proj,1024,1024
38,self_attn.v_proj,1024,1024
38,self_attn.o_proj,4096,4096
38,mlp.gate_proj,4096,4096
38,mlp.up_proj,4096,4096
38,mlp.down_proj,4096,4096
39,self_attn.q_proj,4096,4096
39,self_attn.k_proj,1024,1024
39,self_attn.v_proj,1024,1024
39,self_attn.o_proj,4096,4096
39,mlp.gate_proj,4096,4096
39,mlp.up_proj,4096,4096
39,mlp.down_proj,4096,4096
