Layer Number,Layer Name,Effective Rank
32,mlp.gate_proj,3849.3186
32,mlp.up_proj,3882.3225
32,mlp.down_proj,3807.3037
33,self_attn.q_proj,2940.686
33,self_attn.k_proj,898.77234
33,self_attn.v_proj,957.6067
33,self_attn.o_proj,3018.5598
33,mlp.gate_proj,3841.5408
33,mlp.up_proj,3876.1438
33,mlp.down_proj,3833.394
34,self_attn.q_proj,2896.0588
34,self_attn.k_proj,860.57495
34,self_attn.v_proj,971.46405
34,self_attn.o_proj,3094.466
34,mlp.gate_proj,3822.5442
34,mlp.up_proj,3852.3228
34,mlp.down_proj,3813.6235
35,self_attn.q_proj,2884.3433
35,self_attn.k_proj,880.1444
35,self_attn.v_proj,957.20636
35,self_attn.o_proj,2946.4197
35,mlp.gate_proj,3828.8088
35,mlp.up_proj,3852.5876
35,mlp.down_proj,3831.6726
36,self_attn.q_proj,2819.1697
36,self_attn.k_proj,836.47375
36,self_attn.v_proj,918.7563
36,self_attn.o_proj,3117.6062
36,mlp.gate_proj,3811.038
36,mlp.up_proj,3832.1768
36,mlp.down_proj,3789.2068
37,self_attn.q_proj,2830.4802
37,self_attn.k_proj,861.03644
37,self_attn.v_proj,925.99
37,self_attn.o_proj,3139.482
37,mlp.gate_proj,3808.8582
37,mlp.up_proj,3836.697
37,mlp.down_proj,3844.4392
38,self_attn.q_proj,2756.0442
38,self_attn.k_proj,821.93854
38,self_attn.v_proj,922.97076
38,self_attn.o_proj,3115.4304
38,mlp.gate_proj,3815.104
38,mlp.up_proj,3832.7065
38,mlp.down_proj,3858.4927
39,self_attn.q_proj,2876.6982
39,self_attn.k_proj,852.56384
39,self_attn.v_proj,1007.8115
39,self_attn.o_proj,3129.7393
39,mlp.gate_proj,3797.9258
39,mlp.up_proj,3795.5867
39,mlp.down_proj,3840.8225
